Qual è la maggiore difficoltà di uno stakeholder secondario che prende visione delle lesson learned solo dopo la chiusura,Non può correggere errori in corso d opera e le soluzioni proposte potrebbero essere tardive,Ha la possibilità di rielaborare il piano di risk management,Ottiene un vantaggio economico immediato,Può richiedere di rifare le attività con un costo inferiore,A
In che modo si gestisce la condivisione dei dati sensibili del progetto al termine della chiusura,Si pubblicano liberamente su internet,Si conserva tutto in un archivio protetto rispettando le policy di sicurezza aziendale,Si cancellano i dati per rispettare il GDPR,Si vendono al miglior offerente,B
Perché un eventuale mancata partecipazione di alcune figure chiave al close out meeting può creare lacune future nelle fasi di manutenzione o servizio post vendita,Non influisce perché la documentazione è già disponibile,Complica la governance di portafoglio,Impedisce il trasferimento corretto di conoscenze ed esperienze provocando possibili inefficienze operative,Genera un maggiore coinvolgimento delle risorse junior,C
Che cosa implica un calo costante nell indice earned value per il processo di controllo,Segnala un avanzamento piu rapido del previsto,Indica uno scostamento negativo di costi e tempi,Dimostra che i rischi sono stati mitigati correttamente,Conferma un sovradimensionamento delle risorse,B
Come va interpretato uno schedule variance costantemente positivo durante la fase di controllo,Significa che le attivita sono tutte in ritardo,Indica un anticipo sulle tempistiche pianificate,Certifica la necessita di rivedere il risk register,Obbliga a ridurre il margine di manovra futura,B
Perche un valore CPI inferiore a 1 e cruciale nella decisione di intraprendere azioni correttive nel controllo,Permette di posticipare le milestone,Richiede un cambio di stakeholder immediato,Segnala che il progetto sta spendendo piu del pianificato,Conferma che tutti i deliverable sono completi,C
Cosa accade se il controllo rivela che alcune attivita sono completate ma non corrispondono ai requisiti concordati,Si prosegue l esecuzione ignorando la difformita,Si apre una segnalazione e si valuta una possibile rework,Si conclude il progetto anticipatamente,Si ricalcola il budget senza aggiustamenti,B
Quale tecnica e piu adatta a individuare tempestivamente trend negativi sui costi,La qualitativa risk checklist,Il metodo di decomposition della WBS,La trend analysis basata sui dati storici,La random review dello scope,C
In che modo il controllo degli avanzamenti influenza la baseline di progetto se sono gia stati approvati numerosi change request,La baseline resta invariata,La baseline deve essere aggiornata formalmente se gli scostamenti superano certe soglie,Non e necessario alcun adeguamento,Si blocca ogni modifica futura per non alterare i dati,B
Come interpretare un indice SPI pari a 0.8 nelle analisi di controllo periodiche,Le attivita stanno procedendo piu velocemente,Il progetto e in linea con la schedulazione,Il progetto sta accumulando ritardi,Significa che il budget e stato sforato,C
Cosa implica un controllo che evidenzia una differenza sostanziale tra i deliverable reali e quelli pianificati in WBS,Si tratta di un errore di comunicazione tra stakeholder,Occorre riconfigurare l intero project charter,Si apre un canale di escalazione e si valutano azioni correttive,Si ignora in attesa di un risk assessment,C
Perche e essenziale definire gli acceptance criteria prima di effettuare il controllo sui deliverable,Per anticipare la chisura del contratto,Per semplificare i rapporti con i fornitori esterni,Per valutare correttamente la conformita alle specifiche,Per annullare la necessita di test finali,C
Che succede se il controllo rivela un deterioramento grave della qualita dopo multiple ispezioni,Si ridefinisce la baseline di costi per coprire i difetti,Si propongono azioni correttive o preventive per riportare la qualita agli standard,Si continua l esecuzione trascurando i difetti,Si cede la responsabilita a un ente esterno,B
Come gestire una situazione in cui il cost variance risulta positivo ma i deliverable non soddisfano i requisiti,Si elimina la parte di scope non conforme,Si considera un successo grazie al risparmio sul budget,Si richiede una revisione di ambito e si attuano piani correttivi,Si ignora l argomento perche i costi sono bassi,C
Quale risorsa e fondamentale per un efficace controllo dei rischi identificati in avvio,Un archivio di deliverable completati,Una matrice RACI limitata,Un risk register costantemente aggiornato e monitorato,Un modulo di collaudo posticipato,C
Perche occorre documentare ogni scostamento significativo tra pianificato ed effettivo durante il controllo,Per creare confusione amministrativa,Per nascondere i difetti al cliente,Per analizzare le cause e definire azioni correttive tracciabili,Per non concedere informazioni al PMO,C
In che modo la comunicazione regolare di stato incide sul processo di controllo,Non ha alcun impatto perche e un aspetto formale,Impedisce di correggere gli errori in corso,Permette agli stakeholder di conoscere gli scostamenti e approvare interventi rapidi,Mantiene il project manager all oscuro dei rischi,C
Cosa indica un trend di riduzione del CPI e contemporaneamente un aumento dello SPI,Che il progetto e in anticipo su tempi ma sta superando i costi previsti,Che i costi sono sotto controllo ma le attivita ritardano,Che entrambi costi e tempi sono migliori del piano,Che esiste un difetto di baseline,A
Come agire se il team ignora ripetutamente le procedure di controllo qualita malgrado i piani iniziali,Si procede in emergenza firmando contratti extra,Si aggiungono nuove milestone nel Gantt,Si intraprende un escalation verso il management per rafforzare la disciplina di controllo,Si ridefinisce lo scope senza autorizzazioni,C
Perche un controllo statistico di processo risulta utile in presenza di deliverable ripetitivi,Per complicare il piano di costi,Per garantire uno standard qualitativo omogeneo su attivita simili,Per eliminare la necessita di baseline,Per semplificare i contratti con i fornitori,B
Cosa fare se le metriche di controllo indicano che il progetto e in linea con il budget ma la customer satisfaction e molto bassa,Si interrompe il progetto,Si avvia un audit sulle specifiche di qualita e stakeholder engagement,Si ignora perche i costi sono corretti,Si richiede un nuovo sponsor,B
Qual e la finalita di utilizzare un control chart nel monitoraggio continuo della qualita,Verificare se i costi aumentano del 10 per cento,Indicare se un processo e sotto controllo statistico o se esistono trend anomali,Ridurre il numero di attivita di esecuzione,Ottimizzare il risk register,B
Come interpretare un VAR se i dati di Earned Value e Actual Cost coincidono costantemente,Significa che non esiste scostamento in termini di costi,Indica un eccesso di deliverable,Obbliga a ridurre il carico di risorse,Richiede un aumento di milestone,A
Perche risulta essenziale stabilire soglie di controllo per SPI e CPI,Per evitare che il PMO intervenga nelle scelte,Per definire quando scatta un intervento correttivo,Per imposizione legale,Per non dover utilizzare i software di project management,B
Cosa fare se il control schedule evidenzia costanti ritardi ma i costi rimangono in linea con la baseline,Si rinvia la chiusura del contratto senza conseguenze,Si ricalcola l intero WBS da capo,Si attuano piani di crash o fast track per recuperare tempo,Si spostano le attivita di risk management altrove,C
Qual e il principale scopo di un integrated change control quando nel controllo emergono molte richieste di modifica,Permettere ai fornitori di cambiare la tipologia di contratti,Garantire la valutazione di impatto e l approvazione formale prima di modificare la baseline,Delegare le decisioni all utente finale,Prolungare la fase di avvio,B
In che modo un issue log aggiornato favorisce la tempestiva identificazione di azioni correttive,Offre una panoramica delle problematiche aperte e consente di tracciarle fino alla loro risoluzione,Obbliga i manager funzionali a firmare documenti extra,Aumenta la complessita della baseline,Elimina la necessita di definire stakeholder,A
Come si agisce se nel controllo vengono rilevati scostamenti marginali ma ripetuti,Si ignora la situazione ritenendola fisiologica,Si raccolgono i dati e si valuta se avviare un piano di miglioramento continuo,Si ferma il progetto,Si cambia sponsor,C
Perche e importante integrare i risultati del controllo costante con il piano di risk response,Per generare conflitti tra risorse,Per aiutare a prevedere meglio gli impatti dei rischi emergenti e adattare le strategie,Per ridurre il campo di applicazione del change management,Per cancellare le attivita non remunerative,B
